Nume fisier resursa	Obiect / control sursa	Dimensiune
Alegere_dir_001.jpg	Alegere_dir (VB.Form.Picture, Alegere_dir.frx)	16019 bytes
Alegere_dir_002.ico	Alegere_dir (VB.Form.Icon, Alegere_dir.frx)	10614 bytes
CD_001.gif	Image1 (VB.Image.Picture, CD.frx)	5926 bytes
CD_002.gif	Combustie (VB.Image.Picture, CD.frx)	7149 bytes
CD_003.gif	Image3 (VB.Image.Picture, CD.frx)	16885 bytes
CD_004.gif	Normal_PC_World(0) (VB.Image.Picture, CD.frx)	7149 bytes
CD_005.gif	Normal_PC_World(1) (VB.Image.Picture, CD.frx)	5596 bytes
CD_006.gif	Pe_web (VB.Image.Picture, CD.frx)	2821 bytes
CD_007.gif	Image2 (VB.Image.Picture, CD.frx)	366 bytes
CD_008.jpg	Instalare (VB.Form.Picture, CD.frx)	130067 bytes
CD_009.jpg	Bara_indigo (VB.PictureBox.Picture, CD.frx)	3939 bytes
CD_010.jpg	Metal (VB.Image.Picture, CD.frx)	16019 bytes
CD_011.jpg	Bara_copiere (VB.PictureBox.Picture, CD.frx)	3947 bytes
CD_012.bmp	PereteDeskTop(2) (VB.Image.Picture, CD.frx)	2694 bytes
CD_013.bmp	PereteDeskTop(1) (VB.Image.Picture, CD.frx)	2694 bytes
CD_014.bmp	BSunetNU (VB.Image.Picture, CD.frx)	1890 bytes
CD_015.bmp	BSunetDA (VB.Image.Picture, CD.frx)	16254 bytes
CD_016.bmp	PereteDeskTop(0) (VB.Image.Picture, CD.frx)	2694 bytes
CD_017.bmp	ButonulMare (VB.Image.Picture, CD.frx)	7534 bytes
CD_018.ico	Instalare (VB.Form.Icon, CD.frx)	894 bytes
CD_019.ico	PicturaSys(4) (VB.PictureBox.Picture, CD.frx)	894 bytes
CD_020.ico	PicturaSys(3) (VB.PictureBox.Picture, CD.frx)	894 bytes
CD_021.ico	PicturaSys(2) (VB.PictureBox.Picture, CD.frx)	894 bytes
CD_022.ico	PicturaSys(1) (VB.PictureBox.Picture, CD.frx)	894 bytes
CD_023.ico	PicturaSys(0) (VB.PictureBox.Picture, CD.frx)	894 bytes
Captura_001.jpg	Incarcare (VB.Image.Picture, Captura.frx)	16019 bytes
Captura_002.cur	Captura (VB.Form.Icon, Captura.frx)	2238 bytes
Citeste_001.ico	Citeste (VB.Form.Icon, Citeste.frx)	10614 bytes
Copiere_001.gif	Iconita (VB.Image.Picture, Copiere.frx)	959 bytes
Copiere_002.jpg	Bara_copiere (VB.PictureBox.Picture, Copiere.frx)	3947 bytes
Copiere_003.jpg	Bara_indigo (VB.PictureBox.Picture, Copiere.frx)	3939 bytes
Copiere_004.jpg	fundal (VB.Image.Picture, Copiere.frx)	16019 bytes
Despre_001.jpg	Image1 (VB.Image.Picture, Despre.frx)	7192 bytes
Despre_002.ico	DespreYO (VB.Form.Icon, Despre.frx)	10614 bytes
Despre_003.ico	Image1 (VB.Image.MouseIcon, Despre.frx)	2238 bytes
Despre_004.ico	PaulAurelianGagniuc (VB.Label.MouseIcon, Despre.frx)	2238 bytes
Inlocuire_ICO_001.ico	Inlocuire_ICO (VB.Form.Icon, Inlocuire_ICO.frx)	3262 bytes
Inlocuire_Iconite_001.ico	Inlocuire_Iconite (VB.Form.Icon, Inlocuire_Iconite.frx)	3262 bytes
Intrare_001.gif	Image4 (VB.Image.Picture, Intrare.frx)	1190 bytes
Intrare_002.jpg	Intrare (VB.Form.Picture, Intrare.frx)	66110 bytes
Intrare_003.jpg	Bara_indigo (VB.PictureBox.Picture, Intrare.frx)	3939 bytes
Intrare_004.jpg	Bara_Incarcare (VB.PictureBox.Picture, Intrare.frx)	3947 bytes
Intrare_005.ico	Intrare (VB.Form.Icon, Intrare.frx)	10614 bytes
Mesagerie_001.bmp	fundal_pix (VB.PictureBox.Picture, Mesagerie.frx)	90 bytes
Mesagerie_002.bmp	Pe_fundal (VB.PictureBox.Picture, Mesagerie.frx)	90 bytes
Sc1_001.gif	fulger (VB.Image.Picture, Sc1.frx)	1190 bytes
Sc1_002.ico	Scan1 (VB.Form.Icon, Sc1.frx)	3774 bytes
Sc2_001.gif	fulger (VB.Image.Picture, Sc2.frx)	1190 bytes
Sc2_002.ico	Scan2 (VB.Form.Icon, Sc2.frx)	3774 bytes
Scan3_001.gif	fulger (VB.Image.Picture, Scan3.frx)	1190 bytes
Scan3_002.ico	Scan3 (VB.Form.Icon, Scan3.frx)	3774 bytes
Scan4_001.gif	fulger (VB.Image.Picture, Scan4.frx)	1190 bytes
Scan4_002.ico	Scan4 (VB.Form.Icon, Scan4.frx)	3774 bytes
